id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11919,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19819721.0,19819721.0,False,,1,,,,2025-02-04T19:31:00.000Z,100591.88290118794,68779083542.7476,-40.6373,1.52342653,-0.06226964,-1.5732687,2.67351797,-0.84855598,33.38609717,1993703053966.2156,60.1503,2112429540924.95,,2025-02-04T19:31:00.000Z,,,,,,2025-02-04 23:31:43.286567
1027,Ethereum,ETH,ethereum,9917,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'avalanche-ecosystem', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'bnb-chain-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem']",,120523942.30417287,120523942.30417287,True,,2,,,,2025-02-04T19:31:00.000Z,2852.1245560583993,47625432084.67597,-49.7486,1.38072763,4.04783026,-9.17156336,-21.49225294,-30.04993618,6.75107917,343749295438.6972,10.3656,343749295438.7,,2025-02-04T19:31:00.000Z,,,,,,2025-02-04 23:31:43.286567
52,XRP,XRP,xrp,1522,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'bnb-chain-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america']",100000000000.0,57703732191.0,99986541057.0,False,,3,,,,2025-02-04T19:31:00.000Z,2.6869774868047673,13431403693.511354,-65.3823,2.17156347,-1.48476251,-14.50606389,12.22494573,13.99097007,401.97215154,155048629301.82852,4.6743,268697748680.48,,2025-02-04T19:31:00.000Z,,,,,,2025-02-04 23:31:43.286567
825,Tether USDt,USDT,tether,115461,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'heco-ecosystem', 'algorand-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'terra-ecosystem', 'tezos-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'zilliqa-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'cronos-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'xdc-ecosystem', 'everscale-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'klaytn-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'boba-network-ecosystem', 'fusion-network-ecosystem', 'hoo-smart-chain-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'cube-network-ecosystem', 'thundercore-ecosystem', 'redlight-chain-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'eos-evm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'manta-pacific-ecosystem', 'scroll-ecosystem', 'x-layer-ecosystem']",,140478740215.5961,142572893899.8495,True,,4,,,,2025-02-04T19:29:00.000Z,1.0005268014232798,150006307850.69754,-49.7617,-0.00626133,-0.11512676,0.07030228,0.08188957,-0.09596329,-0.06988005,140552744615.88223,4.2383,142648001503.28,,2025-02-04T19:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-02-04 23:31:43.286567
5426,Solana,SOL,solana,837,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america']",,487065777.115991,593398365.3435142,True,,5,,,,2025-02-04T19:29:00.000Z,217.53452623119955,7121298711.482332,-56.1093,2.26821873,1.73055437,-6.01999143,2.14071386,-9.29792101,16.05114704,105953623068.35814,3.1942,129084632271.37,,2025-02-04T19:29:00.000Z,,,,,,2025-02-04 23:31:43.286567
1839,BNB,BNB,bnb,2347,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'ethereum-ecosystem', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142480415.63,142480415.63,False,,6,,,,2025-02-04T19:31:00.000Z,586.8062250908785,2273280546.279094,-44.2382,0.67202463,-3.12443701,-12.2612377,-16.84365111,-20.76586711,-0.16948006,83608394845.2197,2.5205,83608394845.22,,2025-02-04T19:31:00.000Z,,,,,,2025-02-04 23:31:43.286567
3408,USDC,USDC,usd-coin,25458,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'wanchain-ecosystem', 'coinbase-ventures-portfolio', 'algorand-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'terra-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'cronos-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'everscale-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'base-ecosystem', 'sei-ecosystem', 'multiversx-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'telos-ecosystem', 'ronin-ecosystem', 'boba-network-ecosystem', 'kava-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'elastos-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'evmos-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'thundercore-ecosystem', 'tomb-chain-ecosystem', 'wemix-ecosystem', 'sx-network-ecosystem', 'godwoken-ecosystem', 'energi-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'scroll-ecosystem', 'shido-network-ecosystem', 'made-in-america']",,55023481800.99891,55023481800.99891,False,,7,,,,2025-02-04T19:29:00.000Z,0.9999272735899941,14057801914.240961,-47.4036,-0.00319854,-0.00291576,-0.01840794,-0.00047406,0.00012852,-0.01017269,55019480140.7015,1.6587,55019480140.7,,2025-02-04T19:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-02-04 23:31:43.286567
74,Dogecoin,DOGE,dogecoin,1160,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain-ecosystem', 'ftx-bankruptcy-estate', 'made-in-america']",,147909476383.70523,147909476383.70523,True,,8,,,,2025-02-04T19:31:00.000Z,0.27477138451715666,4602064105.297239,-59.3949,1.78606724,-0.97616198,-15.60866495,-28.11144476,-37.57780973,42.14041092,40641291609.15837,1.2255,40641291609.16,,2025-02-04T19:31:00.000Z,,,,,,2025-02-04 23:31:43.286567
2010,Cardano,ADA,cardano,1456,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america']",45000000000.0,35193500774.44231,44995053982.605034,False,,9,,,,2025-02-04T19:31:00.000Z,0.781736971791253,1579494868.1879034,-67.0417,2.96548762,-1.88596688,-16.44372291,-28.52094745,-36.2224019,119.1184092,27512060722.145645,0.83,35178163730.61,,2025-02-04T19:31:00.000Z,,,,,,2025-02-04 23:31:43.286567
1958,TRON,TRX,tron,1116,2017-09-13T00:00:00.000Z,"['media', 'payments', 'ethereum-ecosystem', 'tron-ecosystem', 'bnb-chain-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem']",,86117066064.487,86117079891.90887,True,,10,,,,2025-02-04T19:31:00.000Z,0.22862319290037314,1205270215.8278975,-43.1773,0.92914461,0.24809973,-6.09340795,-12.89005637,-28.04202968,39.64086301,19688358606.87539,0.5937,19688361768.14,,2025-02-04T19:31:00.000Z,,,,,,2025-02-04 23:31:43.286567
